Daily_demand,Demand,Diesel_engines,Fuel_oil_gas,Gas_turbine,Generation,Non_renewable_waste,Peak_Load,Renewable_waste,Solar_PV,date
-,552,524,524,0,552,14,27 (23h),14,0,"2019,07,07"
-,600,571,571,0,600,14,29 (14h),14,0,"2019,07,06"
-,639,609,609,0,639,15,33 (14h),15,0,"2019,07,05"
-,629,600,600,0,629,14,33 (14h),14,0,"2019,07,04"
-,640,611,611,0,640,15,33 (14h),15,0,"2019,07,03"
-,637,610,610,0,637,14,33 (14h),14,0,"2019,07,02"
-,666,639,639,0,666,13,35 (14h),13,0,"2019,07,01"
,,,,,,,,,,"2019,06,31"
-,553,525,525,0,553,14,28 (23h),14,0,"2019,06,30"
-,601,571,571,0,601,15,30 (15h),15,0,"2019,06,29"
-,644,614,614,0,644,15,34 (14h),15,0,"2019,06,28"
-,647,619,619,0,647,14,34 (14h),14,0,"2019,06,27"
-,634,605,605,0,634,14,33 (14h),14,0,"2019,06,26"
-,615,584,584,0,615,15,33 (14h),15,0,"2019,06,25"
-,594,565,565,0,594,14,31 (14h),14,0,"2019,06,24"
-,504,476,476,0,504,14,25 (23h),14,0,"2019,06,23"
-,555,527,527,0,555,14,27 (15h),14,0,"2019,06,22"
-,589,559,559,0,589,15,31 (14h),15,0,"2019,06,21"
-,586,556,556,0,586,15,31 (14h),15,0,"2019,06,20"
-,589,561,561,0,589,14,31 (14h),14,0,"2019,06,19"
-,588,558,558,0,588,15,31 (14h),15,0,"2019,06,18"
-,579,550,550,0,579,15,30 (14h),15,0,"2019,06,17"
-,499,468,468,0,499,15,26 (23h),15,0,"2019,06,16"
-,533,501,501,0,533,16,26 (23h),16,0,"2019,06,15"
-,570,540,540,0,570,15,29 (14h),15,0,"2019,06,14"
-,584,550,555,5,584,14,30 (14h),14,0,"2019,06,13"
-,583,553,553,0,583,15,30 (14h),15,0,"2019,06,12"
-,573,545,545,1,573,14,30 (14h),14,0,"2019,06,11"
-,561,531,531,0,561,15,29 (14h),15,0,"2019,06,10"
-,513,481,481,0,513,16,26 (23h),16,0,"2019,06,09"
-,532,499,499,0,532,16,26 (14h),16,0,"2019,06,08"
-,553,519,519,0,553,17,28 (14h),17,0,"2019,06,07"
-,544,513,513,0,544,15,28 (14h),15,0,"2019,06,06"
-,539,507,507,0,539,16,26 (14h),16,0,"2019,06,05"
-,590,558,558,0,590,16,30 (14h),16,0,"2019,06,04"
-,571,537,537,0,571,17,29 (22h),17,0,"2019,06,03"
-,514,478,478,0,514,18,27 (22h),18,0,"2019,06,02"
-,532,496,496,0,532,18,27 (22h),18,0,"2019,06,01"
-,549,515,515,0,549,17,27 (14h),17,0,"2019,05,31"
-,579,546,546,0,579,17,29 (22h),17,0,"2019,05,30"
-,589,558,558,0,589,16,30 (22h),16,0,"2019,05,29"
-,576,546,547,0,576,15,30 (22h),15,0,"2019,05,28"
-,571,537,537,0,571,17,29 (22h),17,0,"2019,05,27"
-,501,467,467,0,501,16,27 (22h),16,0,"2019,05,26"
-,536,500,500,0,536,18,27 (22h),18,0,"2019,05,25"
-,573,539,539,0,573,17,29 (14h),17,0,"2019,05,24"
-,572,537,537,0,572,18,29 (22h),18,0,"2019,05,23"
-,568,531,531,0,568,18,29 (22h),18,0,"2019,05,22"
-,562,528,528,0,562,17,29 (22h),17,0,"2019,05,21"
-,547,515,515,0,547,16,28 (22h),16,0,"2019,05,20"
-,485,451,451,0,485,17,26 (22h),17,0,"2019,05,19"
-,515,480,480,0,515,18,26 (22h),18,0,"2019,05,18"
-,551,515,515,0,551,18,27 (22h),18,0,"2019,05,17"
-,573,538,538,0,573,17,29 (22h),17,0,"2019,05,16"
-,566,531,531,0,566,17,29 (22h),17,0,"2019,05,15"
-,557,522,522,0,557,18,29 (22h),18,0,"2019,05,14"
-,545,511,514,4,545,15,29 (22h),15,0,"2019,05,13"
-,517,481,481,0,517,18,27 (22h),18,0,"2019,05,12"
-,536,501,501,0,536,17,28 (22h),17,0,"2019,05,11"
-,568,532,532,0,568,18,28 (22h),18,0,"2019,05,10"
-,558,524,524,0,558,17,29 (22h),17,0,"2019,05,09"
-,558,523,523,0,558,17,29 (22h),17,0,"2019,05,08"
-,558,522,522,0,558,18,29 (22h),18,0,"2019,05,07"
-,549,516,516,0,549,17,29 (22h),17,0,"2019,05,06"
-,489,456,456,0,489,16,26 (22h),16,0,"2019,05,05"
-,517,481,481,0,517,17,27 (22h),17,0,"2019,05,04"
-,548,512,512,0,548,18,28 (14h),18,0,"2019,05,03"
-,552,520,520,0,552,16,29 (22h),16,0,"2019,05,02"
-,491,458,458,0,491,16,26 (22h),16,0,"2019,05,01"
,,,,,,,,,,"2019,04,31"
-,535,501,502,0,535,17,27 (22h),17,0,"2019,04,30"
-,535,502,502,0,535,17,28 (22h),17,0,"2019,04,29"
-,473,442,442,0,473,16,26 (22h),16,0,"2019,04,28"
-,498,462,462,0,498,18,26 (22h),18,0,"2019,04,27"
-,529,493,493,0,529,18,27 (14h),18,0,"2019,04,26"
-,539,504,504,0,539,18,29 (22h),18,0,"2019,04,25"
-,537,503,503,0,537,17,28 (22h),17,0,"2019,04,24"
-,542,507,507,0,542,17,29 (22h),17,0,"2019,04,23"
-,534,498,498,0,534,18,29 (22h),18,0,"2019,04,22"
-,474,439,439,0,474,18,26 (22h),18,0,"2019,04,21"
-,477,444,444,0,477,16,26 (22h),16,0,"2019,04,20"
-,467,458,458,0,467,5,24 (22h),5,0,"2019,04,19"
-,467,467,467,0,467,0,24 (22h),0,0,"2019,04,18"
-,520,519,520,1,520,0,27 (14h),0,0,"2019,04,17"
-,523,498,498,0,523,12,27 (22h),12,0,"2019,04,16"
-,513,479,479,0,513,17,27 (22h),17,0,"2019,04,15"
-,465,433,433,0,465,16,24 (22h),16,0,"2019,04,14"
-,484,449,449,0,484,17,26 (22h),17,0,"2019,04,13"
-,520,486,486,0,520,17,26 (22h),17,0,"2019,04,12"
-,521,488,488,0,521,16,28 (22h),16,0,"2019,04,11"
-,529,494,494,0,529,17,27 (22h),17,0,"2019,04,10"
-,531,496,496,0,531,17,28 (22h),17,0,"2019,04,09"
-,507,471,471,0,507,18,28 (22h),18,0,"2019,04,08"
-,396,361,361,0,396,17,22 (22h),17,0,"2019,04,07"
-,510,474,474,0,510,18,27 (22h),18,0,"2019,04,06"
-,549,513,513,0,549,18,29 (22h),18,0,"2019,04,05"
-,550,515,515,0,550,17,29 (22h),17,0,"2019,04,04"
-,553,517,517,0,553,18,29 (22h),18,0,"2019,04,03"
-,553,519,519,1,553,17,30 (22h),17,0,"2019,04,02"
-,553,522,522,0,553,16,29 (22h),16,0,"2019,04,01"
-,488,453,453,0,488,18,28 (22h),18,0,"2019,03,31"
-,534,498,498,0,534,18,28 (22h),18,0,"2019,03,30"
-,541,502,502,0,541,19,29 (21h),19,0,"2019,03,29"
-,508,469,469,0,508,20,27 (22h),20,0,"2019,03,28"
-,498,460,460,0,498,19,26 (21h),19,0,"2019,03,27"
-,554,515,515,0,554,19,29 (21h),19,0,"2019,03,26"
-,545,506,506,0,545,19,30 (21h),19,0,"2019,03,25"
-,474,435,435,0,474,19,27 (22h),19,0,"2019,03,24"
-,505,467,467,0,505,19,27 (22h),19,0,"2019,03,23"
-,530,491,491,0,530,19,29 (22h),19,0,"2019,03,22"
-,544,505,505,0,544,19,29 (21h),19,0,"2019,03,21"
-,548,510,510,0,548,19,30 (21h),19,0,"2019,03,20"
-,540,502,502,1,540,19,29 (22h),19,0,"2019,03,19"
-,546,509,509,0,546,18,29 (21h),18,0,"2019,03,18"
-,489,452,452,0,489,18,27 (22h),18,0,"2019,03,17"
-,517,478,478,0,517,19,27 (22h),19,0,"2019,03,16"
-,550,512,512,0,550,19,28 (21h),19,0,"2019,03,15"
-,558,520,520,0,558,19,30 (21h),19,0,"2019,03,14"
-,557,522,522,0,557,17,30 (21h),17,0,"2019,03,13"
-,565,546,546,0,565,9,30 (21h),9,0,"2019,03,12"
-,558,558,558,0,558,0,30 (21h),0,0,"2019,03,11"
-,506,483,483,0,506,12,28 (21h),12,0,"2019,03,10"
-,524,489,489,0,524,17,28 (22h),17,0,"2019,03,09"
-,561,525,525,0,561,18,29 (21h),18,0,"2019,03,08"
-,568,530,530,0,568,19,30 (21h),19,0,"2019,03,07"
-,572,536,536,0,572,18,30 (22h),18,0,"2019,03,06"
-,564,526,527,0,564,19,30 (21h),19,0,"2019,03,05"
-,560,526,526,0,560,17,30 (21h),17,0,"2019,03,04"
-,513,479,479,0,513,17,29 (22h),17,0,"2019,03,03"
-,535,499,499,0,535,18,28 (22h),18,0,"2019,03,02"
-,571,536,536,0,571,18,30 (22h),18,0,"2019,03,01"
,,,,,,,,,,"2019,02,31"
